Motif,Diseased_%,Baseline_%,Log2FC,t_p,OR,fisher_p,q
HNK1,0.0,0.0,0.0,1.0,,1.0,1.0
GQ1b,0.0,0.0,0.0,1.0,,1.0,1.0
O_mannose_Lex,0.0,0.0,0.0,1.0,,1.0,1.0
B-GM1,0.0,0.0,0.0,1.0,,1.0,1.0
2Fuc_GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
Sialopentaosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
Sulfogangliotetraosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
para-Forssman,0.0,0.0,0.0,1.0,,1.0,1.0
bisSulfo-Lewis x,0.0,0.0,0.0,1.0,,1.0,1.0
SulfoLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
SialylLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
H_antigen_type3,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen,0.0,0.0,0.0,1.0,,1.0,1.0
A_antigen_type1,0.0,0.0,0.0,1.0,,1.0,1.0
Terminal_LewisX,0.0,0.0,0.0,1.0,,1.0,1.0
GP1ca,0.0,0.0,0.0,1.0,,1.0,1.0
Isoglobotetraosylceramide,0.0,0.0,0.0,1.0,,1.0,1.0
GP1c,0.0,0.0,0.0,1.0,,1.0,1.0
B-GD1b,0.0,0.0,0.0,1.0,,1.0,1.0
core_fucose(a1-3),0.0,0.0,0.0,1.0,,1.0,1.0
GQ1aa,0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_complex2,0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_complex,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core5,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core6,0.0,0.0,0.0,1.0,,1.0,1.0
Oglycan_core7,0.0,0.0,0.0,1.0,,1.0,1.0
Xylogalacturonan,0.0,0.0,0.0,1.0,,1.0,1.0
Sialosylparagloboside,0.0,0.0,0.0,1.0,,1.0,1.0
LDNF,0.7,0.9,-0.33,0.7976157934572581,0.7697594501718213,1.0,1.0
LPS_core,0.0,0.0,0.0,1.0,,1.0,1.0
Gala_series,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinogalactan_type2,0.0,0.0,0.0,1.0,,1.0,1.0
OFuc,0.0,0.0,0.0,1.0,,1.0,1.0
EGF_repeat ,0.0,0.0,0.0,1.0,,1.0,1.0
Nglycan_hybrid,0.0,0.0,0.0,1.0,,1.0,1.0
Acharan_Sulfate,0.0,0.0,0.0,1.0,,1.0,1.0
M3FX,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinan,0.0,0.0,0.0,1.0,,1.0,1.0
Xyloglucan,0.0,0.0,0.0,1.0,,1.0,1.0
1-6betaGalactan,0.0,0.0,0.0,1.0,,1.0,1.0
M3X,0.0,0.0,0.0,1.0,,1.0,1.0
Galactomannan,0.0,0.0,0.0,1.0,,1.0,1.0
Arabinogalactan_type1,0.0,0.0,0.0,1.0,,1.0,1.0
Fucoidan,0.0,0.0,0.0,1.0,,1.0,1.0
Alginate,0.0,0.0,0.0,1.0,,1.0,1.0
FG,0.0,0.0,0.0,1.0,,1.0,1.0
XX,0.0,0.0,0.0,1.0,,1.0,1.0
Difucosylated_core,0.0,0.0,0.0,1.0,,1.0,1.0
GalFuc_core,0.0,0.0,0.0,1.0,,1.0,1.0
DisialylLewisC,0.0,0.0,0.0,1.0,,1.0,1.0
RM2,0.0,0.0,0.0,1.0,,1.0,1.0
DisialylLewisA,0.0,0.0,0.0,1.0,,1.0,1.0
