glycan,glycan_type,tissue_sample,disease_association,n_tissue_labels
Man(a1-3/6)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,AML_193_cell_line; C10_cell_line; CHOK1_cell_line; CHOS_cell_line; COLO_205_cell,[],56
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; AML_193_cell_line; C10_cell_line; COLO_205_cell_line; COLO_320_ce,[],56
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,A9_fibroblast_cell_line; B_cell; CHOK1_cell_line; CRL_1620_cell_line; Cervicovag,"['atrial_fibrillation', 'benign_breast_tumor_tissues_vs_para_carcinoma_tissues',",56
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,A549_cell_line; B_cell; C10_cell_line; CaCo_2_cell_line; HCT116_cell_line; HEK29,"['colorectal_cancer', 'colorectal_cancer', 'colorectal_cancer', 'colorectal_canc",55
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,B_cell; CHOK1_cell_line; CRL_1620_cell_line; HL_60_cell_line; HeLaEV2_cell_line;,"['Lyme_disease', 'gastric_cancer', 'lung_non_small_cell_carcinoma', 'type_2_diab",54
{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,BMMC_cell_line; B_cell; HL_60_cell_line; HeLaEV2_cell_line; HeLaPF_cell_line; K5,['lung_non_small_cell_carcinoma'],52
Gal1Cer,lipid,COS7_cell_line; MDCK_cell_line; N370FG_cell_line; RAW264.7_cell_line; adrenal_gl,"['Krabbe_disease', 'lung_small_cell_carcinoma', 'melanoma']",51
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,2A3_cell_line; AML_193_cell_line; Apo_H; C10_cell_line; COLO_320_cell_line; Cal-,"['colorectal_cancer', 'colorectal_cancer', 'influenza', 'thyroid_gland_papillary",50
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,B_cell; CHOK1_cell_line; CHOS_cell_line; CRL_1620_cell_line; Cervicovaginal_Secr,"['filarial_elephantiasis', 'lung_non_small_cell_carcinoma', 'type_2_diabetes_mel",50
Gal(a1-4)Gal(b1-4)Glc1Cer,lipid,COS7_cell_line; HCT116_cell_line; ME_1_cell_line; MV4_11_cell_line; M_07e_cell_l,"['Fabry_disease', 'Fabry_disease', 'cataract', 'melanoma']",50
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,AML_193_cell_line; C10_cell_line; COLO_205_cell_line; COLO_320_cell_line; Caco_2,"['colorectal_cancer', 'colorectal_cancer']",49
Neu5Ac(a2-3)Gal1Cer,lipid,adrenal_gland; adrenal_gland; brain; brain; brain; brain; brain; brain; brain; c,[],49
Gal(b1-3)[GlcNAc(b1-6)]GalNAc,O,A549_cell_line; HL_60_cell_line; MV4_11_cell_line; U_937_cell_line; actinopteryg,"['Parkinson_disease', 'Sjogrens_syndrome', 'colorectal_cancer', 'liver_cancer', ",48
GlcNAc,O,HEK293_cell_line; HeLa_cell_line; T_cell; anterior_lobe_of_cerebellum; brain; br,[],47
