glycan,glycan_type,tissue_sample,disease_association,n_tissue_labels
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,digestive_tract; heart; heart; kidney; kidney; liver; muscle_structure; muscle_s,[],8
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,B_cell; HL60_cell_line; K562_cell_line; T_cell; colon; heart; kidney; pancreas,[],8
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,blood_serum; heart; plasma; plasma; plasma; plasma; plasma,[],7
{Man(a1-2)}Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,BMMC_cell_line; Cervicovaginal_Secretion; milk; muscle_structure; muscle_structu,[],7
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,CHOK1_cell_line; HEK293_cell_line; heart; lung; secretion_of_lacrimal_gland; tra,"['female_breast_cancer', 'lung_non_small_cell_carcinoma']",7
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,blood_serum; brain; egg_yolk; heart; milk; sperm; urine,['type_1_diabetes_mellitus'],7
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; kidney; kidney; liver; muscle_structure; muscle_structure; muscle_structu,[],7
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,blood_serum; heart; heart; liver; plasma; plasma; plasma,[],7
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney; liver; muscle_structure; muscle_structure; muscle_structur,[],7
{Neu5Ac(a2-3/6)}Gal(b1-3)GalNAc,O,B_cell; bone_marrow_mast_cells; colon; colon; cornea; heart; spleen,[],7
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CHOK1_cell_line; HEK293_cell_line; heart; iPS2A_cell_line; lung; secretion_of_la,['lung_non_small_cell_carcinoma'],7
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1-4)Glc1Cer,lipid,adipose_tissue; adipose_tissue; dorsal_root_ganglion; kidney; liver; pericardium,[],7
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,alveolus_of_lung; colon; heart; mammalian_vulva; ovary; placenta; urine,[],7
{Man(a1-2)}{Man(a1-2)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,heart; kidney; kidney; liver; neutrophil; heart; liver,[],7
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,HL60_cell_line; K562_cell_line; T_cells; heart; milk; monocyte; spleen,[],7
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,heart; kidney; liver; liver; muscle_structure; muscle_structure; muscle_structur,[],7
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,ML_1_cell_line; erythrocyte; kidney; kidney; pericardium; small_intestine; stoma,['stomach_carcinoma'],7
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,blood; blood_serum; heart; heart; heart; muscle_of_leg; ovary,[],7
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,blood_serum; brain; heart; muscle_of_leg; plasma; prostate_gland,[],6
Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-8)Neu5Ac(a2-6)]GalNAc,O,actinopterygian_pyloric_caecum; heart; ileum; intestinal_mucosa; liver; platelet,['liver_cancer'],6
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney; muscle_structure; muscle_structure; muscle_structure,[],6
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,heart; milk; milk; milk; milk; spleen,"['chronic_low_back_pain', 'type_2_diabetes_mellitus']",6
GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; milk; muscle_structure; muscle_structure; muscle_structure; retina,[],6
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,A549_cell_line; HEK293_cell_line; iPS1A_cell_line; iPS2A_cell_line; lung; skelet,[],6
{Neu5Ac(a2-3/6)}Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,B_cell; bone_marrow_mast_cells; colon; heart; spleen; thymus,[],6
{Fuc(a1-2/3/4)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HL_60_cell_line; K562_cell_line; heart; kidney; spleen; zone_of_skin,[],6
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HL60_cell_line; K562_cell_line; colon; heart; kidney; spleen,[],6
{Fuc(a1-2/3/4)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,K562_cell_line; T_cells; heart; kidney; natural_killer_cell; spleen,[],6
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,milk; milk; neutrophil; regular_atrial_cardiac_myocyte; regular_ventricular_card,[],6
{Gal(b1-4)}{Gal(b1-4)}GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,kidney; liver; muscle_structure; muscle_structure; muscle_structure; liver,[],6
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,lung; milk; milk; milk; neutrophil; regular_atrial_cardiac_myocyte,[],6
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,brain; heart; heart; heart; muscle_of_leg; prostate_gland,"['colorectal_cancer', 'colorectal_cancer', 'colorectal_cancer']",6
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney; liver; plasma; plasma,[],6
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,blood_serum; heart; liver; muscle_structure; muscle_structure; muscle_structure,[],6
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,brain; heart; heart; heart; ovary,['colorectal_cancer'],5
Neu5Gc(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,O,cervical_mucus; heart; mucosa; mucosa_of_stomach; zona_pellucida,[],5
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,brain; heart; liver; ovary; regular_atrial_cardiac_myocyte,[],5
Man(b1-4)GlcNAc(b1-4)GlcNAc,N,A549_cell_line; CHOK1_cell_line; HEK293_cell_line; heart; muscle_of_leg,[],5
{GlcNAc(b1-4/6)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,CHOS_cell_line; PBMC_cell; cornea; mast_cell; muscle_structure,[],5
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3)[Man(a1-6)]Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,brain; heart; kidney; lung; thymus,[],5
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Man(a1-3)[Man(a1-6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; kidney; lung; spleen; thymus,[],5
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney; muscle_structure; muscle_structure,[],5
{Fuc(a1-2/3/4)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HeLaEV2_cell_line; HeLaPF_cell_line; K562_cell_line; heart; kidney,[],5
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HL60_cell_line; K562_cell_line; T_cells; heart; spleen,[],5
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,amniotic_fluid; blood_serum; heart; plasma; trachea,['Crohn_disease'],5
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,milk; milk; milk; regular_atrial_cardiac_myocyte; regular_ventricular_cardiac_my,[],5
{Fuc(a1-2/3/4)}Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,K562_cell_line; heart; natural_killer_cell; pancreas; spleen,[],5
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,NS0_cell_line; heart; heart; muscle_of_leg; soft_palate,[],5
Neu5Ac(a2-8)Neu5Ac(a2-6)[Gal(b1-3)]GalNAc,O,actinopterygian_pyloric_caecum; gill; heart; ileum; intestinal_mucosa,[],5
{Gal(b1-4)}GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; kidney; milk; heart; liver,[],5
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,alveolus_of_lung; kidney; muscle_structure; ovary; placenta,[],5
Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,colonic_mucosa; heart; stomach; zona_pellucida,[],4
Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,blood_serum; heart; heart; lung,[],4
{Man(a1-2)}{Man(a1-2)}{Man(a1-2)}Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Cervicovaginal_Secretion; muscle_structure; muscle_structure; muscle_structure,[],4
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,O,cervical_mucus; colon; heart; zona_pellucida,[],4
{Man(a1-2)}{Man(a1-2)}Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Cervicovaginal_Secretion; muscle_structure; muscle_structure; muscle_structure,[],4
{Neu5Ac(a2-3/6)}Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HL60_cell_line; K562_cell_line; heart; kidney,[],4
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,brain; heart; liver; lung,[],4
{Neu5Ac(a2-3)}{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; kidney; muscle_structure; muscle_structure,[],4
{Gal(a1-3)}{Gal(a1-3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,NS0_cell_line; muscle_structure; muscle_structure; muscle_structure,[],4
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,heart; muscle_structure; muscle_structure; muscle_structure,[],4
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,NS0_cell_line; muscle_structure; muscle_structure; muscle_structure,[],4
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,aorta; erythrocyte; skeletal_muscle_tissue; thymus,[],4
{Gal(a1-3)}{Neu5Ac(a2-3)}{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; kidney; muscle_structure; muscle_structure,[],4
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; liver; muscle_of_leg; liver,[],4
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,milk; milk; neutrophil; regular_atrial_cardiac_myocyte,[],4
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,heart; heart; muscle_of_leg,[],3
{Gal(a1-3)}Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney,[],3
{Gal(b1-4)GlcNAc(b1-2/4)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,muscle_structure; muscle_structure; muscle_structure,[],3
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,muscle_structure; muscle_structure; muscle_structure,[],3
Man(a1-2)Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,blood_serum; heart; heart,[],3
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,milk; regular_atrial_cardiac_myocyte; regular_ventricular_cardiac_myocyte,[],3
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,O,A549_cell_line; HEK293_cell_line; skeletal_muscle_tissue,[],3
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,brain; regular_atrial_cardiac_myocyte; regular_ventricular_cardiac_myocyte,[],3
Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,regular_atrial_cardiac_myocyte; regular_ventricular_cardiac_myocyte; spleen,[],3
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney,[],3
Gal(b1-4)GlcNAc(b1-2)Man,O,skeletal_muscle_tissue; stomach; striatum,[],3
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,muscle_structure; muscle_structure; muscle_structure,[],3
{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; heart; kidney,[],3
GalNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,erythrocyte; pericardium; stomach,[],3
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,blood_serum; heart; muscle_of_leg,[],3
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,milk; milk; regular_atrial_cardiac_myocyte,[],3
{Gal(a1-3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,NS0_cell_line; muscle_structure; muscle_structure,[],3
{Gal(b1-4)}GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,muscle_structure; muscle_structure; muscle_structure,[],3
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,heart; ovary; urine,[],3
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man,O,brain; skeletal_muscle_tissue; striatum,[],3
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,NS0_cell_line; heart; heart,[],3
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(a1-3)Gal(b1-4)GlcNAc(b1-2/4/6)[Neu5Gc(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,lung; neutrophil; regular_atrial_cardiac_myocyte,[],3
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,brain; heart; muscle_of_leg,[],3
{Gal(a1-3)}{Gal(a1-3)}{Neu5Ac(a2-3)}Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,heart; kidney; muscle_structure,[],3
{Neu5Ac(a2-3/6)}Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,K562_cell_line; colon; heart,[],3
